n_153_2_1_0,現金仁人固定資産圧縮損貸倒引当人金売掛金未払配当金電子記録債務給料減価償却費支払手形当座頂金機械装置クレジット売掛金備章買持金利益準備金消耗品費国庫補助金受贈益別途積立金研完開発費貸倒損失繰越利益剰余金売上備品減価償却連計額普通項金電子記録債権資本金受取手形
n_153_2_1_1,1.特定の研究開発の目的で備品\500.000と実験用の薬剤\70.000を購入し、代金は小切手を振り出して支払うとともに、この研究プロジェクトにのみ従事している客員研究員A氏に対する今月分の業務委託費\300.000を当社の普通預金口座からA氏の指定する項金口座に振り込んだ。
n_153_2_1_2,2.得意先東西商事株式会社が倒産し、同社に対する売掛金\600.000が回収不能となった。同社に対する売掛金のうち、\400.000は前期の販売から生じたものであり、残額は当期の販売から生じたものである。なお、貸倒中当金の残高は\320.000であり、設定金額は適切と認められる。
n_153_2_1_3,3.1)最新式のレジスター25吾(@\144.000)の導入にあたり、去る5月7日に国から\1.800.000の補助金を得て、補助金の受領については適切に会計処理済みである。本日(6月1日)、上記のレジスターを予定どおり購入し、小切手を振り出して支払った。そのうえで、補助金に関する圧締記帳を直接捧除方式にて行った。なお、備品勘定は圧縮記帳した事実をボすように記入すること。(2)本日決算日(12月31日)につき、上記の備品について減価償却(200%定率法)を月割計算にて行う。机用年数は5年、記帳方法は直接法によること。
n_153_2_1_4,4.株式会社平成商会に対する買掛金\800.000の支払いにつき、取引銀行を通じて電子債権記録機関に令和産業株式会社に対する電子記録偵権の譲渡記録を行った。
n_153_2_1_5,5.株主総会が開催され、別途積立金\18.000.000を全額取り崩して繰越利益剰余金に振り替えたうえで、繰越利益剰余金を財源に1株につき\100の配当を実施することが可決された。株主総会開催直前の純資産は、資本金\200.000.000、資本準備金\40.000.000、利益準備金ゞ9.000.000、別途積立金\18.000.000、および繰越利益剰余金\7.000.000であった。会社法に定める金額の利益準備金を積み立てる。なお、発行済株式総数は200.000株である。
n_153_2_2_1,第2問(20点)記1)一⑭の文章の空欄のうち①一⑩に入る語句あるいは数値を答えなさい。ただし、語名については、次の[語群]の中から最も適当なものを選び、記号で答えなさい。[語群]ア.出荷イ.損金ウ.取得原価エ.売買目的有価証券オ.租税公課カ.関係会社株式キ.特別損失ク.無形固定資産ケ.税込コ.のれんサ.子会社株式及び関連会社株式シ.投資その他の資産ス.事業税セも.定額ソノ.仮払消費税タ.仮受消費税チ.流動資産ツ.償却原価テ.益金ト.引渡ナ.平均ニ.定率ヌ.販売費及び一般管理費ネ.検収ノ.営業外収益ハ.満期保有目的の債券ヒ.特別利益フ.時価へ.負ののれん発生益ホ.固定資産税マ.振替ミ.利子込みム.有形固定資産(1)企業の所得に課税される税金には、法人税、住民税のほかに()がある。課税所得は1年間に得られた(①)から()を差し引いて求め、これに税率をかけたものが納税額となる。また、消費税の記帳方法には税抜方式と(②)方式とがある。(②)方式では、納付すべき消費税を(③)勘定の借方に記入する。(2)収益の認識基準には複数のものがある。出荷基準、引渡基準、および検収基準の3つのうち、最も早く収益を計上するのは()基準であり、逆に最も遅く収益を計上するのは(④)基準である。(3)合併の対価が合併によって受け入れた資産から負債を差し引いた純資産額を上回る場合、その超過額である()は、貸借対照表の(⑤)の区分に記載し、()年以内に()法その他合理的な方法によって規則的に償却しなければならない。これに対し、合併の対価が合併によって受け入れた純資産額を下回る場合、その不足額は、()として損益計算書の(⑥)の区分に記載されることになる。(4)有価証券は、その保有目的にしたがい、()、(⑦)、()およびその他有価証券に区分される。(②)は、(⑱)をもって貸借対照表価額とするが、債券金額より低い価額または高い価額で取得した場合、その差額が金利の調整と認められるときは、その差額を償本期まで一定の方法で取得価額に加減する。この方法を(⑨)法という。たとえば、20X1年4月1日に社全1.000.000千円を額面100円につき99.00円にて償二期日20X6年3月31日まで保有する目的で購入したとする。ここで定額法によって(⑨)法を適用したとすると、20X3年3月31日時点での(⑦)の貸借対照表価額は(⑩)千円となる。
n_153_2_3_1,"第3問(20点)次の[資料]にもとづいて、連結第4年度(X3年4月1日からX4年3月31日まで)の連結精算表(連結貸借対照表と連結損益計算書の部分)を作成しなさい。[資料]1.P社は親会社であり、子会社であるS社の概要は、次のとおりであった。(1)P社は、XO年4月1日にS社の発行済株式総数(5.000株)の80%を270.000千円で取得して支配を獲得し、それ以降P社はS社を連結子会社として連結財務諸表を作成している。XO年4月1日のS社の純資産の部は、次のとおりであった。資本金150.000千円資本剰余金37.500千円利益剰余金""90.000千円S社は支配獲得後に配当を行っておらず、また、のれんは20年にわたり定額法で償却を行っている。(2)S社は機器の製造業であるが、独自に調達した材料にP社から仕入れた部品Aを加えて、P社の販売する機器の付属機器Bも製造している。P社は部品Aの販売時にその調達価格の10%を加えたものでS社に販売している。S社は、付属機器Bを製造原価に30%の利益を加えた価格でP社に販売し、それ以外に外部の第三者にも付属機器Bとその他の機器を直接に販売している。2.P社は連結第4年度中に土地(帳和価額51.500千円)を、S社に対して60.000千円で売却した。3.連結会社(P社およびS社)問の債権債務残高および取引高は、次のとおりであった。P社からS社S社からP社売持金66.000千円買掛金59.400千円未収入金8,.000千円未払金8.000千円買掛金210.000千円売持金210.000千円支払手形120.000千円受取手形0千円仕入(売上原価)910.000千円売上高910.000千円売上高363.000千円部品仕入(売上原価)356.400千円残高又は取引高に差異が生じているものは、次のような原因によるものと判明した。①連結第4年度の期末に、S社においてP社から仕入れた部品A6.600千円の検収が完了していないため未計上であった。⑨④S社がP社から受け取った手形120.000千円のうち、70.000千円は買掛金の支払いのため仕入先に理書譲渡きれ、50,000千円は銀行で割り引かれた。割引の際の手形売却損240千円のうち期末から満期日までの期間の額は160千円であった。S社の手形売却損2.600千円はすべて了P社から受け取った手形の割引によるものである。このような差異については、連結上で消去仕訳のための追加修正仕訳、または、連結上で適切な科目への振閑仕訳を行う(ただし、②の非支配株主に帰属する当期純利益への影響については修正しないものとする)。"
n_153_2_3_2,4.連結第3年度末と連結第4年度示にP社の個別財務諸表に計上されている「製品及び商品]」のうちS社から仕入れた製品(付属機器B)は、それぞれ65.000千円と78.000千円であった。また、連結第3年度末と連結第4年度末にS社の個別財務諸表に計上きれている原材料には、P社から仕入れた部品えが、それぞれ16.500千円と13.200千円含まれていた。なお、連結第3年度未と連結第4年度未において、S社の「製品及び商品」には付属機器Bの在庫はなく、仕掛品には部品Aは含まれていない。5.S社の付属機器Bの製造原価の構成は、次のとおりであった。連結第3年度連結第4年度部品AA33%33%その他の材料費35%34%加上費32%33%
n_153_2_4_1,"工業和仁記第4間(20点)X社は本社会計から工場合計を独立させている。材料と製品の倉庫は工場に置き、材料購入を含めて支払い関係は本社が行っている。なお、11月1日の工場元帳の諸勘定の残高は次のとおりであった。ー残高試算表(単位:円)材料700,.000賃金・給料500.000仕掛品1.800.000本社2.500.000製造間接費0製品500.0003.000.0003.000.000下記の1)から(5)はX社の11月の取引の一部である。これらについて、工場および本社で行われる仕訳を示しなさい。勘定科目は次の中から最も適当と思われるものを選び、正確に記入することとし、工場で使用する期定科目は上記の残高試算表に示されているものに限る。現金材料賃金・給料製造間接費仁掛品製剖売上原価本社工場買掛金当座拓金機械減価償却叶額1)材料900.000円を掛けにて購入し、工場の倉庫に搬入きれた。(2)直接工賃金1.400.000円と間接工賃金600.000円を現金で支払った。(3)当月に行われた外部業者による工場清掃作業料金120.000円が当座預金の口座から引き落ときれた。(4)工場の機械について、当月の減価償却費300.000円を計上した。(5)販売した製品の製造原価は8.000.000円であった。"
