0002,[資料2]決算にあたっての修正事項1.期中に火災に適ったが保険付していたため、焼突した資産の帳待価額(減価償却費計上済)を火災未決算勘定に振り替える処理を行っていた。決算の直前に保険会社から20X9年4月末日に保険金\1.540.000が当社の普通預金口座に入金されることが決定したとの連絡が入った。2.売掛金\740.000が決算日に回収きれ当社の当座預金口座に入金されていたが、その連絡が届いていなかったので未処理である。[資料3]決算凝理事項等1.期末商品帳徐棚卸高は\8.900.000である。甲商品には商品評価損\170.000、選商品には梓卸減耗損\230.000が生じている。いずれも売上原価に算人する。2.売上債権の期末残高につき、「1.000分の10」を差額補充法により貸倒引当金として設定する。なお、当該引当金に係る税効果は生じていない。3.建物、備品とも残存価額ゼロ、定額法にて減価償却を行う。建物の耐用年数は30年、備品の耐用年数は6年である。ただし、備品は当期首に購入したものであり、税務上の法定面用年数が8年でもることから、減価償半費損金算入限度超過人額に係る税効果会計を適用する。4.消費税の処理(税抜方式)を行う。5.長期貸付金は、20X8年10月1日に期間5年、年利率4%、利払日は毎年3月31日と9月30日の年2回の条件で他社に貸し付けたものである。貸付額につき15%の貸倒引当金を計上する。ただし、これに対する貸倒引当金如信について損金算入が全額とも認められなかったため、税効果会計を適用する。6.その他有価証券の金額は、内社株式の前期末の時価である。前期末に当該株式を全部純資産直入法にもとづき時価評価した差領について、期首に戻し入れる洗奉処理を行っていなかった。そのため、決算整理前残高試算表の繰延税金資産は、前期末に当該株式に対して税効果会計を適用した際に生じたものであり、これ以外に期首時点における税効果会計の適用対象はなかった。当期末の内社株式の時価は\7.700.000である。7.法人税、住民税及び事業税に\2.054.000を計上する。なお、仮払法人税等は中間納付によるものである。8.繰延税金資産と繰延税金負債を相殺し、その純額を固定資産または固定負債として貸借対照表に表示する。
0008,(禁無断転載)2級2019年度第152回和仁記検定試験間題用紙(午後1時30分開始制限時間2時間)(2019年6月9日昌施行)日本商工会議所各地商工会議所受験者への注意事項1.答案用紙は、持ち帰りできませんので必ず提出してください。持ち帰った場合は失格となり、以後の受験をお断りする場合があります。2.答えは、定められたところに、誤字・脱字のないよう、ていねいに書いてください。3.答案の記入にあたっては、黒鉛筆または黒シャープペンシルを使用してください。
n_152_1_0,現金当座項金売掛金売買目的有価証券営業外受取手形備唱満期保有目的債券買掛金営業外支払手形商品保証引当金売上割戻引当金返品調整引当金資本金資本準備金その他資本剰余金繰越利益剰余金売上商品保証引当金戻入売上割戻引当金戻入返品調整引当金戻入有価証券利息有価証券売却益仁入商品保証引当金繰入売上割戻引当金如入返品調整引当金繰入支払利息有価証券売却損創立費開業綿株式交付費為替差損益
n_152_1_1,1.叉年12月1日、売買目的で保有している人額面総額\1.000.000の社債(利率年0.365%、利払日は3月末と9月末の年2回)を額面\100につき\98.90の価額(裸相場)で売却し、売却代金は売買日までの端数利息とともに現金で受け取った。なお、この社債はX年9月1日に額面\100につき\98.80の価額(裸相場)で買い入れたものであり、端数利息は1年を365日として日割で計算する。
n_152_1_2,2.年4月1日、商品陳列棚を分割払いで購入し、代金として毎月末に支払期日が順次到来する領面\150.000の約束手形10枚を振り出して交付した。なお、商品陳列棚の現金購入価額は\1.440.000である。
n_152_1_3,3.X年3月31日、決算にあたり、前年度に販売した商品に付した品質保証期限が経過したため、この保証のために設定した引当金の残高\36.000を取り月すとともに、当期に品質保証付きで販売した商品の保証費用を当期の売上高\18.500.000の1%と見積もり、洗奉法により引当金を設定する。
n_152_1_4,4.X年8月1日、1か月前の7月1日の輸入取引によって生じた外貨建ての買掛金40.000ドル(決済日はX年9月30日)について、1ドル\110で40.000ドルを購入する為替予約を取引銀行と契約し、振当処理を行うこととし、為益予約による円換算額との差額はすべて当期の損益として処理する。なお、輸入取引が行われたX年7月1日の為替相場(直物為替相場)は1ドル\108であり、また本日(X年8月1日)の為替相場(直物為替相場)は1ドル\109である。
n_152_1_5,5.1)会社の設立にあたり、発行可能株式総数10.000株のうち2.500株を1株当たり\40.000で発行し、その全額について引受けと払込みを受け、払込金は当座預金とした。なお、会社法が認める最低限度額を資本金として計上する。(2)上記(1)の会社の設立準備のために発起人が立て替えていた諸費用\300.000を現金で支払った。
n_152_2_1,"第2問(20点)下記の[資料T]および[資料]にもとづいて、次の各問に答えなさい。問1答案用紙の当座預金勘定調整表を完成さきせなさい。問2[資料1]の(2)(3)(4)、および、[資料T]の(1)(2)(4)に関する決算に必要な著理仕訳を、答案用紙の該当欄に示しなさい。ただし、勘定科目は、次の中から最も適当と思われるものを選び、正確に記入すること。現金当座項金普通頂金仮払金受取手形仮払法人税等不渡手形消耗品費広告宣伝費通信費為替差損益受取配当金支払配当金借入金買掛金[質料1]3月31日現在の現金勘定および当座聞金勘定の内容と、3月中の当座聞金出納帳の記入は次のとおりであった。(上単位:円)||帳短残高銀行残高(または実在残高)当座頒金遇納帳単位:円)月|日|摘想|小軌手No.|預入|引出|残高有。有Ei|20|買掛金支弘|100!||800.000|2700.000|25|売掛金振込入金|。|1.200.000||1.900.000|28|広告家伝費支払|1002||200.000|1.700.000|30|消耗卓費支払|]1003||150.000|1.550.000.3L|受取手形取立(2通)||1.490.00||2.950.000.ー]31|小切手入金||120.00||3.070.000.当座季金取引について、次の事項が判明した。(1)小切手No.1002とNo.1003は3月31日までに銀行に呈示されていなかった。(⑫)受取手形の取立依頼分2通のうち、1通\500.000は不渡りとなっており、和信金処理が銀行で行われなかった。(3)3月31日に電話料金\14.000の自動引落しが行われていた。(4)小切手入金の\120.000は、実際には銀行に預け入れられていなかった。([資料T]の(3)参照)[資料T]現金残高について、金庫の内容を実査したところ、次のものが入っていた。金庫内実査表(単位:円)。岳要金叙日本銀行券及び硬貨""|525.650-米国ドル紙幣_100ドル札50枚、50ドル札90枚|950.000__出張旅費仮払い額の従業員からの受取書。|100.000_12月決算会社の配当金令.取証8.000ーー合計。|1.703.650上記の内容について、以下の事実が判朋している。(1)米国ドル紙向は円貨による取得価額であり、3月31日の為奉レートは、1ドル\110であった。(2)旅費仮払い額は、出金の会計処理が行われておらず、また、3月31日時点で従業員が出張から戻っていないため、旅費精算も行われていない。(3)小切手\120.000は、当座頂金口座に入金の会計処理を行ったが、銀行への持参を失念したため、金庫の中にそのまま残っていた。4)西n会外羽征(親和島所祖入9O撤除後の会類研るる)につい克オオ会計如理ポ行わお力いかいい"
n_152_3_1,第3問(20点)次にした商品売買業を営む株式会社鹿児島商会の[資料1]から[資料3]にもとづいて、稚案用紙の貸借対照表を完成きせなさい。会計期間は20X8年4月1日より20X9年3月31日までの1年間である。本問では貸倒引当金、減価償却、およびその他有価証券の3項目に関してのみ税効果会計を適用する。法定実効税率は前期・当期とも25%であり、将来においても税率は変わらないと見込まれている。なお、繰延税金資産は全額回収可能性があるものとする。[資料1]決算各理前残高試算表_決算整理前残高試算表(単位:円)借方甚定科目貸方6.064.000|仮改消費税|5.000.000|昌和物||建物減価償趣累計人額|5.000.00.6.800.000|その他有価証券]|発。上|wo00.O|受取利息及び受取配当金|”300.000._3.600.000|火災未決算ーー_148.340.00|。148.340.000
n_152_4_1,工業委記第4間(20点)X社は実際個別原価計算を採用し、製造間接費の計算は部門別計算を行っている。製造部門費の配肛基準は直接作業時間である。次の資料]にもとづいて、下記の問に答えなさい。[喚(1)補助部門費の配肛に関する月次予算アータ臓基準組立部門|切削部門|修可部門|工場事務部門|材料人上部人東肌康|大人|部人5人修縛時間人の時間|80時間|一|12時間|19時間材料運搬回数120回60回2回|一|一(2)月次直接作業時間データ||組問功肖部門|了定下接作業時間|8.000時間|6.000時間実際直接作業時間5.900時間間1直接配内法によって、符案用紙の月次予算部門別本農家を完成しなさい。なお、[資料]から適切なデータのみ選んで使用すること。問2問1の月次條部門別本肛表にもとづいて、組立部門費と切削部門費の予定配凡額と実際配額の当月の差額を製造間接費配肛差異勘定に振り砺える仕説をしなさい。なお、計算したところ、当月の組立部門算の実際配賠失は1時間あたり310円、功削部門費の実際配虹素は1時間あたり325円であった。勘定科目は次の中から最も適当と思われるものを選び、正確に記入すること。組立部門費。功削部門旨。製品仕掛品製造間接号有差異
n_152_5_1,第5問(20点)株式会社がトーニッショウでは、2種類の洋菓子(製品Xと製品Y)を製造している。原価計算方式としては標準原価計算を採用している。加工費の配駅基準は直接作業時間であり、予算直接作業時間を基準操業度としている。現在、2019年5月の予算と実績に関するデータを入手し、実績検討会議に向けた報告書を作成している。次の[資料]にちとづいて、下記の間に答えなさい。[資料]1.原価標準(製品1個当たりの標準原価)1)製品X原料費6円プgx100g600円加工費1.500円プ時間x0.4時間600円合計1.200円(⑫)製品Y原料費8円Zgx150g1.200円加工費1.500円時間x0.6時間900円合計2.100円2.2019年5月予算製品X製品Y※加工費予算は変動予算を用いている。3.2019年5月実績rao折||emmm※月初・月末に仕掛品は存在しない。間1予算生産量にもとづく製品Xの標準原価(予算原価)を計算しなさい。問2実際生産量にもとづく製品Xの標準原価を計算しなさい。間3製品Yの標準原価差異を分析し、1)原料費差異を価格差異と数量差異に分けなさい。(2)加工費差異を予算差異、能率差異、操業度差異に分けなさい。なお、能率差異は変動費と固定費の両方からなる。
